collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,sales_delta,sales_wow,unit_conversion,prior_conversion,conversion_pp
1800 Bed Sheets,1337858.57,319079.09,868088,128542,41938,8237,1018779.48,3.19287446883467,0.0483107703366479,0.0640802228065535,-0.015769452469905597
1800 Bed Sheet Set With DEEP Fitted Sheet,418274.32,68248.13,198178,24147,10293,1380,350026.19,5.128729387896781,0.051938156606686915,0.05714995651633743,-0.005211799909650518
1800 Bed Sheet Set 6 PIECE,40714.69,14527.2,12912,3425,1108,345,26187.49,1.802652266093948,0.08581164807930607,0.10072992700729927,-0.014918278927993203
1800 Pillowcase Set 2 pc,34526.92,13803.269999999999,11423,3353,2196,757,20723.65,1.5013580115436418,0.1922437188129213,0.2257679689830003,-0.03352425017007901
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,12995.25,4277.54,5125,1498,291,80,8717.71,2.038019515889974,0.05678048780487805,0.0534045393858478,0.0033759484190302516
1800 Fitted Sheet,10819.14,4449.46,4423,1370,617,218,6369.679999999999,1.431562481739357,0.13949807822744745,0.1591240875912409,-0.01962600936379344
1800 Bedskirt,8761.710000000001,5962.599999999999,5671,3074,475,280,2799.1100000000015,0.469444537617818,0.08375947804619996,0.09108653220559532,-0.0073270541593953575
1800 Duvet Cover Set,6876.49,2842.1299999999997,2862,2905,238,80,4034.36,1.419484682262951,0.08315863032844165,0.027538726333907058,0.05561990399453459
1800 Flat Sheet,5253.0599999999995,2304.3399999999997,2564,905,324,123,2948.72,1.2796375534860307,0.12636505460218408,0.13591160220994475,-0.009546547607760664
1800 Pillowcase Set 4 pc,4819.49,2277.66,912,299,207,86,2541.83,1.1159830703441251,0.22697368421052633,0.28762541806020064,-0.060651733849674316
Cotton Flannel Sheet Set 160GSM,4503.5,2505.59,1236,606,110,47,1997.9099999999999,0.7973810559588759,0.0889967637540453,0.07755775577557755,0.011439007978467752
"1800 Fitted Sheet 21"" Deep",3920.43,1035.73,2054,640,204,44,2884.7,2.7851853282226062,0.09931840311587146,0.06875,0.03056840311587146
Cotton Flannel Sheet Set 180GSM,2496.73,733.64,688,317,49,12,1763.0900000000001,2.403208658197481,0.07122093023255814,0.03785488958990536,0.03336604064265278
1800 Ultrasonic Coverlet,1936.48,1104.27,2018,1367,44,21,832.21,0.7536290943338133,0.02180376610505451,0.015362106803218726,0.006441659301835783
1800 Pillow Shams 2 piece,1585.95,1227.54,971,638,125,82,358.4100000000001,0.2919741922870131,0.12873326467559218,0.12852664576802508,0.00020661890756709655
400TC Cotton Sheet Set,697.61,424.78999999999996,368,160,13,7,272.82000000000005,0.6422467572212154,0.035326086956521736,0.04375,-0.00842391304347826
Silk Pillowcase,597.61,87.13,387,72,19,3,510.48,5.858831630896362,0.04909560723514212,0.041666666666666664,0.007428940568475456
Velvet Ultrasonic Coverlet,253.72000000000003,66.61,97,68,4,1,187.11,2.8090376820297256,0.041237113402061855,0.014705882352941176,0.02653123104912068
Ruffle Skirt Bedspread Solid,59.97,0.0,25,20,1,0,59.97,,0.04,0.0,0.04
Faux Leather Pillow Cover,43.910000000000004,19.97,15,9,3,1,23.940000000000005,1.1987981972959443,0.2,0.1111111111111111,0.0888888888888889
Mattress Pads Waterproof,36.36,45.46,25,5,2,2,-9.100000000000001,-0.20017597888253413,0.08,0.4,-0.32
Duvet Cover Set Faux Fur,34.98,0.0,17,9,1,0,34.98,,0.058823529411764705,0.0,0.058823529411764705
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,22,5,0,0,0.0,,0.0,0.0,0.0
Duvet Cover Set Flannel,0.0,0.0,13,6,0,0,0.0,,0.0,0.0,0.0
Bundles,0.0,0.0,170,120,0,0,0.0,,0.0,0.0,0.0
Bundles_virtual,0.0,0.0,2944,979,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Ruffle,0.0,0.0,9,13,0,0,0.0,,0.0,0.0,0.0
Microfiber Pillow Covers w/zipper,0.0,0.0,10,4,0,0,0.0,,0.0,0.0,0.0
Toddler 1800 Fitted Sheet,0.0,0.0,4,2,0,0,0.0,,0.0,0.0,0.0
Unmapped,0.0,0.0,6,4,0,0,0.0,,0.0,0.0,0.0
