collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,sales_delta,sales_wow,unit_conversion,prior_conversion,conversion_pp
1800 Bed Sheets,281221.3400000015,294976.2300000001,99331,113830,7263,7635,-13754.889999998617,-0.04663050307476847,0.07311916722876041,0.0670737064042871,0.006045460824473312
1800 Bed Sheet Set With DEEP Fitted Sheet,73492.17000000014,67766.58999999995,20186,23302,1486,1375,5725.580000000191,0.08448971683539329,0.0736153769939562,0.059007810488370095,0.01460756650558611
1800 Pillowcase Set 2 pc,13742.689999999986,13601.48,3050,2932,755,779,141.2099999999864,0.01038195843393413,0.24754098360655738,0.2656889495225102,-0.01814796591595283
1800 Bed Sheet Set 6 PIECE,11935.46,10531.64,3153,3313,276,247,1403.8199999999997,0.1332954791466476,0.08753568030447194,0.07455478418351946,0.012980896120952476
1800 Bedskirt,5316.799999999997,4964.980000000001,3233,2710,251,237,351.81999999999607,0.0708603055802835,0.07763686978038974,0.08745387453874538,-0.009817004758355646
1800 Fitted Sheet,4551.729999999999,3986.0300000000016,1501,1580,232,203,565.6999999999971,0.14192065789770697,0.15456362425049966,0.12848101265822784,0.02608261159227182
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,4128.909999999999,3162.310000000001,1116,1427,77,61,966.5999999999981,0.3056626326957186,0.06899641577060932,0.042747021723896286,0.02624939404671303
1800 Flat Sheet,4023.6099999999947,3484.51,932,1075,213,196,539.0999999999945,0.15471328823851688,0.22854077253218885,0.18232558139534882,0.04621519113684003
1800 Duvet Cover Set,2787.4400000000005,2742.0200000000004,1047,1078,78,76,45.42000000000007,0.016564430602256753,0.07449856733524356,0.07050092764378478,0.003997639691458776
1800 Pillowcase Set 4 pc,1664.72,2251.7799999999997,352,393,62,88,-587.0599999999997,-0.26070930552718286,0.17613636363636365,0.22391857506361323,-0.04778221142724959
Cotton Flannel Sheet Set 160GSM,1566.0700000000004,1559.0700000000002,620,612,31,31,7.000000000000227,0.00448985613218151,0.05,0.05065359477124183,-0.0006535947712418277
"1800 Fitted Sheet 21"" Deep",1462.2300000000002,1506.9300000000003,673,1071,68,63,-44.700000000000045,-0.02966295713802236,0.10104011887072809,0.058823529411764705,0.04221658945896338
1800 Pillow Shams 2 piece,1017.96,1197.3000000000002,715,711,68,80,-179.34000000000015,-0.14978702079679287,0.0951048951048951,0.11251758087201125,-0.017412685767116146
Cotton Flannel Sheet Set 180GSM,933.5200000000001,1257.94,335,402,16,22,-324.41999999999996,-0.25789783296500624,0.04776119402985075,0.05472636815920398,-0.006965174129353234
1800 Ultrasonic Coverlet,929.4600000000002,934.49,1523,1498,18,17,-5.029999999999859,-0.005382615116266476,0.011818778726198293,0.011348464619492658,0.0004703141067056351
400TC Cotton Sheet Set,179.91,394.81,212,213,3,7,-214.9,-0.5443124540918417,0.014150943396226415,0.03286384976525822,-0.018712906369031803
Silk Pillowcase,170.36,0.0,95,101,5,0,170.36,,0.05263157894736842,0.0,0.05263157894736842
Velvet Ultrasonic Coverlet,107.94,0.0,62,60,2,0,107.94,,0.03225806451612903,0.0,0.03225806451612903
Microfiber Pillow Covers w/zipper,0.0,0.0,8,13,0,0,0.0,,0.0,0.0,0.0
Duvet Cover Set Flannel,0.0,0.0,5,4,0,0,0.0,,0.0,0.0,0.0
Toddler 1800 Fitted Sheet,0.0,0.0,2,2,0,0,0.0,,0.0,0.0,0.0
Faux Leather Pillow Cover,0.0,0.0,14,6,0,0,0.0,,0.0,0.0,0.0
Duvet Cover Set Faux Fur,0.0,0.0,10,8,0,0,0.0,,0.0,0.0,0.0
Mattress Pads Waterproof,0.0,0.0,5,3,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Ruffle,0.0,0.0,5,5,0,0,0.0,,0.0,0.0,0.0
Unmapped,0.0,0.0,9,5,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Solid,0.0,0.0,12,18,0,0,0.0,,0.0,0.0,0.0
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,10,11,0,0,0.0,,0.0,0.0,0.0
Bundles,0.0,0.0,100,151,0,0,0.0,,0.0,0.0,0.0
Bundles_virtual,0.0,0.0,913,878,0,0,0.0,,0.0,0.0,0.0
