collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,sales_delta,sales_wow,unit_conversion,prior_conversion,conversion_pp
1800 Bed Sheets,292484.74000000075,280365.4300000002,110964,99331,7568,7240,12119.310000000522,0.0432268343497289,0.06820229984499478,0.07288761816552738,-0.004685318320532608
1800 Bed Sheet Set With DEEP Fitted Sheet,67526.55000000005,73395.22999999997,21152,20186,1370,1484,-5868.67999999992,-0.07995996470070225,0.06476928895612707,0.07351629842465075,-0.008747009468523678
1800 Pillowcase Set 2 pc,13409.55999999998,13760.659999999996,3661,3050,750,755,-351.10000000001673,-0.025514764553445608,0.20486205954657197,0.24754098360655738,-0.04267892405998541
1800 Bed Sheet Set 6 PIECE,12604.789999999994,11894.489999999994,3116,3153,292,275,710.2999999999993,0.05971672597984442,0.09370988446726572,0.0872185220424992,0.006491362424766514
1800 Bedskirt,5124.7699999999995,5296.830000000001,3791,3233,242,250,-172.0600000000013,-0.03248357980150416,0.0638353996307043,0.07732755954222084,-0.013492159911516546
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,4594.449999999999,4128.91,1256,1116,85,77,465.53999999999905,0.11275130724573776,0.06767515923566879,0.06899641577060932,-0.0013212565349405292
1800 Fitted Sheet,4501.309999999999,4633.610000000001,1353,1501,225,232,-132.300000000002,-0.02855225191589322,0.1662971175166297,0.15456362425049966,0.011733493266130046
Cotton Flannel Sheet Set 160GSM,2615.46,1566.0700000000002,607,620,52,31,1049.3899999999999,0.670078604404656,0.085667215815486,0.05,0.035667215815486
1800 Pillowcase Set 4 pc,2407.3199999999997,1664.72,348,352,91,62,742.5999999999997,0.44608102263443683,0.2614942528735632,0.17613636363636365,0.08535788923719956
1800 Flat Sheet,1925.9100000000012,4023.6100000000006,927,932,103,213,-2097.6999999999994,-0.5213477449355178,0.1111111111111111,0.22854077253218885,-0.11742966142107775
1800 Duvet Cover Set,1605.6700000000005,2752.4700000000007,891,1047,45,77,-1146.8000000000002,-0.41664395978884416,0.050505050505050504,0.07354345749761222,-0.023038406992561718
"1800 Fitted Sheet 21"" Deep",1426.2300000000007,1669.9900000000002,881,673,59,68,-243.75999999999954,-0.14596494589787934,0.06696935300794551,0.10104011887072809,-0.03407076586278257
Cotton Flannel Sheet Set 180GSM,1291.3400000000001,933.52,359,335,22,16,357.82000000000016,0.38330191104636235,0.06128133704735376,0.04776119402985075,0.013520143017503011
1800 Pillow Shams 2 piece,1242.2100000000005,1017.9599999999998,696,715,84,68,224.25000000000068,0.22029352823293719,0.1206896551724138,0.0951048951048951,0.025584760067518697
1800 Ultrasonic Coverlet,487.73,929.4599999999999,947,1523,9,18,-441.7299999999999,-0.4752544488197447,0.009503695881731784,0.011818778726198293,-0.0023150828444665084
400TC Cotton Sheet Set,204.91,179.91,170,212,3,3,25.0,0.13895836807292536,0.01764705882352941,0.014150943396226415,0.003496115427302996
Silk Pillowcase,186.43,170.36,84,95,6,5,16.069999999999993,0.09432965484855595,0.07142857142857142,0.05263157894736842,0.018796992481203006
Velvet Ultrasonic Coverlet,67.97,107.94,49,62,1,2,-39.97,-0.37029831387808043,0.02040816326530612,0.03225806451612903,-0.01184990125082291
Ruffle Skirt Bedspread Solid,59.97,0.0,17,12,1,0,59.97,,0.058823529411764705,0.0,0.058823529411764705
Mattress Pads Waterproof,45.46,0.0,17,5,2,0,45.46,,0.11764705882352941,0.0,0.11764705882352941
Faux Leather Pillow Cover,14.97,0.0,9,14,1,0,14.97,,0.1111111111111111,0.0,0.1111111111111111
Bundles,0.0,0.0,64,100,0,0,0.0,,0.0,0.0,0.0
Toddler 1800 Fitted Sheet,0.0,0.0,1,2,0,0,0.0,,0.0,0.0,0.0
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,12,10,0,0,0.0,,0.0,0.0,0.0
Unmapped,0.0,0.0,14,9,0,0,0.0,,0.0,0.0,0.0
Duvet Cover Set Faux Fur,0.0,0.0,7,10,0,0,0.0,,0.0,0.0,0.0
Duvet Cover Set Flannel,0.0,0.0,6,5,0,0,0.0,,0.0,0.0,0.0
Bundles_virtual,0.0,0.0,1065,913,0,0,0.0,,0.0,0.0,0.0
Microfiber Pillow Covers w/zipper,0.0,0.0,7,8,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Ruffle,0.0,0.0,7,5,0,0,0.0,,0.0,0.0,0.0
